invoice_no,customer_id,gender,age,category,quantity,price,payment_method,invoice_date,shopping_mall
I210842,C271181,Female,36,Clothing,5,1500.4,Credit Card,11-01-2023,Viaport Outlet
I328688,C152557,Female,20,Technology,4,4200,Credit Card,11-01-2023,Emaar Square Mall
I278859,C595042,Female,44,Shoes,3,1800.51,Debit Card,11-01-2023,Metrocity
I317541,C217077,Male,37,Food & Beverage,4,20.92,Credit Card,11-01-2023,Emaar Square Mall
I709348,C102873,Female,33,Cosmetics,4,162.64,Credit Card,11-01-2023,Metropol AVM
I177256,C520629,Male,22,Clothing,5,1500.4,Credit Card,11-01-2023,Mall of Istanbul
I244572,C869307,Male,31,Books,2,30.3,Cash,11-01-2023,Kanyon
I115298,C548613,Female,67,Books,4,60.6,Credit Card,11-01-2023,Istinye Park
I295993,C249842,Female,33,Clothing,1,300.08,Credit Card,11-01-2023,Kanyon
I153457,C270008,Female,26,Cosmetics,3,121.98,Cash,11-01-2023,Viaport Outlet
I126992,C224377,Male,33,Toys,2,71.68,Cash,11-01-2023,Forum Istanbul
I989770,C240290,Male,47,Clothing,1,300.08,Debit Card,11-01-2023,Zorlu Center
I333537,C272491,Female,30,Shoes,5,3000.85,Cash,11-01-2023,Metrocity
I219408,C484477,Male,64,Food & Beverage,1,5.23,Debit Card,11-01-2023,Metropol AVM
I170018,C270488,Female,55,Food & Beverage,5,26.15,Cash,11-01-2023,Mall of Istanbul
I218441,C171627,Male,65,Cosmetics,4,162.64,Credit Card,11-01-2023,Metrocity
I209374,C267701,Male,48,Cosmetics,1,40.66,Cash,11-01-2023,Mall of Istanbul
I309319,C295379,Female,47,Shoes,3,1800.51,Credit Card,11-01-2023,Mall of Istanbul
I221638,C149068,Female,47,Toys,2,71.68,Credit Card,11-01-2023,Viaport Outlet
I273620,C172622,Male,22,Food & Beverage,3,15.69,Cash,11-01-2023,Metropol AVM
I464668,C193644,Male,67,Cosmetics,3,121.98,Cash,11-01-2023,Istinye Park
I109650,C294238,Female,61,Cosmetics,2,81.32,Cash,11-01-2023,Kanyon
I271661,C170408,Male,22,Clothing,2,600.16,Credit Card,11-01-2023,Metrocity
I253773,C102021,Female,36,Cosmetics,5,203.3,Credit Card,11-01-2023,Kanyon
I252831,C200038,Female,48,Shoes,1,600.17,Debit Card,11-01-2023,Metrocity
I120604,C298001,Male,37,Clothing,1,300.08,Cash,11-01-2023,Zorlu Center
I816582,C645766,Female,22,Cosmetics,4,162.64,Cash,11-01-2023,Forum Istanbul
I209405,C239176,Male,67,Clothing,4,1200.32,Cash,11-01-2023,Istinye Park
I338593,C202147,Female,23,Toys,4,143.36,Cash,11-01-2023,Istinye Park
I268416,C144942,Female,21,Cosmetics,1,40.66,Credit Card,11-01-2023,Metrocity
I539233,C470860,Female,24,Toys,5,179.2,Credit Card,11-01-2023,Forum Istanbul
I136197,C258525,Female,57,Clothing,3,900.24,Debit Card,11-01-2023,Metrocity
I311870,C796499,Female,46,Cosmetics,1,40.66,Cash,11-01-2023,Mall of Istanbul
I376258,C153200,Female,28,Clothing,4,1200.32,Credit Card,11-01-2023,Metrocity
I461590,C288513,Female,47,Shoes,3,1800.51,Credit Card,11-01-2023,Kanyon
I795152,C499294,Female,33,Food & Beverage,4,20.92,Credit Card,11-01-2023,Kanyon
I326260,C119313,Male,62,Clothing,3,900.24,Cash,11-01-2023,Istinye Park
I999973,C248542,Male,28,Technology,1,1050,Credit Card,11-01-2023,Mall of Istanbul
I800520,C511552,Female,38,Food & Beverage,5,26.15,Credit Card,11-01-2023,Metropol AVM
I220233,C130360,Male,28,Food & Beverage,2,10.46,Credit Card,11-01-2023,Mall of Istanbul
I298567,C218415,Female,38,Clothing,1,300.08,Credit Card,11-01-2023,Kanyon
I310507,C119336,Female,58,Cosmetics,1,40.66,Cash,11-01-2023,Kanyon
I296987,C265140,Female,50,Shoes,4,2400.68,Credit Card,11-01-2023,Mall of Istanbul
I957033,C783421,Female,34,Souvenir,4,46.92,Credit Card,11-01-2023,Mall of Istanbul
I167783,C164565,Female,55,Cosmetics,2,81.32,Cash,11-01-2023,Metrocity
I212484,C117734,Female,25,Food & Beverage,5,26.15,Cash,11-01-2023,Kanyon
I176314,C269205,Female,25,Souvenir,4,46.92,Debit Card,11-01-2023,Metrocity
I229995,C295078,Male,66,Books,1,15.15,Debit Card,11-01-2023,Istinye Park
I253362,C215706,Female,52,Food & Beverage,2,10.46,Cash,11-01-2023,Mall of Istanbul
I440466,C255250,Female,60,Clothing,4,1200.32,Cash,11-01-2023,Mall of Istanbul
I131845,C869921,Male,31,Books,4,60.6,Debit Card,11-01-2023,Metrocity
I316951,C648744,Female,56,Technology,1,1050,Cash,11-01-2023,Istinye Park
I268691,C135747,Male,62,Souvenir,4,46.92,Credit Card,11-01-2023,Kanyon
I639946,C212130,Female,66,Clothing,4,1200.32,Debit Card,11-01-2023,Metropol AVM
I271608,C882948,Female,32,Food & Beverage,5,26.15,Cash,11-01-2023,Kanyon
I293632,C163396,Female,52,Clothing,1,300.08,Credit Card,11-01-2023,Mall of Istanbul
I159527,C531566,Female,47,Toys,2,71.68,Credit Card,11-01-2023,Zorlu Center
I180217,C962101,Female,67,Food & Beverage,3,15.69,Cash,11-01-2023,Viaport Outlet
I250864,C100232,Female,24,Shoes,1,600.17,Debit Card,11-01-2023,Metropol AVM
I182149,C105220,Female,39,Clothing,5,1500.4,Cash,11-01-2023,Mall of Istanbul
I999868,C309718,Female,60,Shoes,2,1200.34,Cash,11-01-2023,Viaport Outlet
I446165,C153478,Female,45,Cosmetics,3,121.98,Debit Card,11-01-2023,Mall of Istanbul
I147685,C526902,Male,69,Clothing,5,1500.4,Debit Card,11-01-2023,Mall of Istanbul
I817125,C242821,Female,32,Shoes,4,2400.68,Cash,11-01-2023,Mall of Istanbul
I302959,C956382,Female,43,Clothing,2,600.16,Credit Card,11-01-2023,Emaar Square Mall
I125241,C571937,Female,58,Technology,5,5250,Cash,11-01-2023,Istinye Park
I257695,C912030,Male,20,Food & Beverage,2,10.46,Credit Card,11-01-2023,Istinye Park
I253132,C386605,Male,22,Clothing,2,600.16,Credit Card,11-01-2023,Zorlu Center
I150118,C227426,Male,60,Cosmetics,1,40.66,Credit Card,11-01-2023,Kanyon
I336185,C117074,Female,42,Souvenir,4,46.92,Credit Card,11-01-2023,Kanyon
I722601,C263884,Female,40,Clothing,5,1500.4,Debit Card,11-01-2023,Forum Istanbul
I126575,C249886,Female,58,Toys,4,143.36,Cash,11-01-2023,Kanyon
I340178,C220321,Female,26,Food & Beverage,5,26.15,Cash,11-01-2023,Mall of Istanbul
I182603,C265249,Female,22,Clothing,4,1200.32,Cash,11-01-2023,Istinye Park
I246984,C963351,Male,43,Clothing,2,600.16,Credit Card,11-01-2023,Emaar Square Mall
I158736,C212625,Female,57,Cosmetics,2,81.32,Debit Card,11-01-2023,Istinye Park
I986329,C281193,Male,51,Clothing,3,900.24,Debit Card,11-01-2023,Metropol AVM
I334068,C354303,Female,35,Clothing,4,1200.32,Credit Card,11-01-2023,Mall of Istanbul
I221742,C291566,Male,50,Food & Beverage,3,15.69,Credit Card,11-01-2023,Mall of Istanbul
I179069,C230286,Female,57,Food & Beverage,5,26.15,Credit Card,11-01-2023,Metropol AVM
I206556,C174554,Male,64,Shoes,3,1800.51,Cash,11-01-2023,Metropol AVM
I228780,C298965,Female,52,Technology,3,3150,Credit Card,11-01-2023,Mall of Istanbul
I120548,C190388,Female,53,Shoes,3,1800.51,Cash,11-01-2023,Mall of Istanbul
I584445,C894022,Female,24,Cosmetics,1,40.66,Cash,11-01-2023,Cevahir AVM
I269722,C136780,Female,28,Clothing,4,1200.32,Credit Card,11-01-2023,Kanyon
I543099,C925355,Female,41,Cosmetics,2,81.32,Cash,11-01-2023,Mall of Istanbul
I793505,C334050,Male,62,Cosmetics,3,121.98,Cash,11-01-2023,Istinye Park
I315043,C304900,Male,37,Souvenir,2,23.46,Cash,11-01-2023,Metrocity
I879427,C319319,Male,45,Souvenir,2,23.46,Cash,11-01-2023,Kanyon
I745686,C235142,Male,39,Toys,3,107.52,Cash,11-01-2023,Metrocity
I234148,C272410,Female,64,Clothing,5,1500.4,Credit Card,11-01-2023,Istinye Park
I107233,C266065,Male,43,Shoes,5,3000.85,Cash,11-01-2023,Istinye Park
I304834,C853812,Female,51,Clothing,4,1200.32,Debit Card,11-01-2023,Kanyon
I167408,C129577,Female,19,Food & Beverage,2,10.46,Cash,11-01-2023,Emaar Square Mall
I124307,C149155,Male,29,Clothing,4,1200.32,Cash,11-01-2023,Kanyon
I840140,C299650,Female,42,Clothing,1,300.08,Cash,11-01-2023,Mall of Istanbul
I279827,C149999,Male,69,Clothing,4,1200.32,Cash,11-01-2023,Metropol AVM
I156826,C220057,Female,62,Clothing,2,600.16,Cash,11-01-2023,Metrocity
I306291,C750153,Female,65,Shoes,3,1800.51,Credit Card,11-01-2023,Zorlu Center
I100762,C183883,Female,49,Clothing,1,300.08,Debit Card,11-01-2023,Zorlu Center
I267193,C317818,Female,19,Cosmetics,3,121.98,Credit Card,12-01-2023,Mall of Istanbul
I664787,C237330,Female,53,Cosmetics,2,81.32,Credit Card,12-01-2023,Istinye Park
I428118,C826744,Female,44,Shoes,2,1200.34,Credit Card,12-01-2023,Kanyon
I186033,C766767,Male,67,Books,5,75.75,Cash,12-01-2023,Kanyon
I133527,C131842,Female,31,Food & Beverage,1,5.23,Debit Card,12-01-2023,Mall of Istanbul
I206642,C289260,Female,36,Cosmetics,3,121.98,Debit Card,12-01-2023,Zorlu Center
I206495,C309927,Male,30,Shoes,1,600.17,Credit Card,12-01-2023,Kanyon
I786441,C151925,Female,18,Clothing,3,900.24,Credit Card,12-01-2023,Metropol AVM
I100837,C827434,Male,65,Clothing,1,300.08,Cash,12-01-2023,Cevahir AVM
I914792,C283913,Female,26,Cosmetics,5,203.3,Credit Card,12-01-2023,Metropol AVM
I327337,C262603,Female,44,Books,5,75.75,Cash,12-01-2023,Kanyon
I338384,C265738,Female,47,Technology,5,5250,Cash,12-01-2023,Kanyon
I205041,C314796,Female,26,Toys,2,71.68,Debit Card,12-01-2023,Mall of Istanbul
I382843,C244394,Male,67,Souvenir,1,11.73,Cash,12-01-2023,Cevahir AVM
I371873,C971436,Female,67,Clothing,3,900.24,Credit Card,12-01-2023,Metrocity
I542451,C244734,Female,64,Cosmetics,3,121.98,Cash,12-01-2023,Metropol AVM
I205581,C156711,Male,64,Technology,1,1050,Credit Card,12-01-2023,Cevahir AVM
I169262,C299323,Male,47,Clothing,5,1500.4,Cash,12-01-2023,Metrocity
I879463,C157362,Female,52,Clothing,4,1200.32,Cash,12-01-2023,Metrocity
I151864,C138611,Female,67,Food & Beverage,4,20.92,Cash,12-01-2023,Metrocity
I324045,C194406,Male,34,Clothing,2,600.16,Cash,12-01-2023,Mall of Istanbul
I178491,C783199,Male,44,Food & Beverage,2,10.46,Credit Card,12-01-2023,Kanyon
I157788,C213395,Male,55,Clothing,1,300.08,Credit Card,12-01-2023,Kanyon
I296657,C345228,Male,20,Cosmetics,2,81.32,Cash,12-01-2023,Mall of Istanbul
I294675,C244191,Male,64,Cosmetics,2,81.32,Credit Card,12-01-2023,Cevahir AVM
I148579,C511799,Male,67,Toys,5,179.2,Credit Card,12-01-2023,Istinye Park
I399951,C160705,Male,48,Clothing,1,300.08,Credit Card,12-01-2023,Kanyon
I394651,C142638,Female,51,Toys,3,107.52,Credit Card,12-01-2023,Kanyon
I274859,C103598,Female,45,Shoes,2,1200.34,Cash,12-01-2023,Istinye Park
I172579,C752964,Male,45,Souvenir,1,11.73,Debit Card,12-01-2023,Istinye Park
I137737,C176516,Male,25,Cosmetics,4,162.64,Debit Card,12-01-2023,Mall of Istanbul
I831968,C141850,Female,42,Toys,5,179.2,Credit Card,12-01-2023,Metrocity
I212078,C274972,Male,43,Cosmetics,5,203.3,Cash,12-01-2023,Istinye Park
I177461,C119090,Male,39,Toys,4,143.36,Cash,12-01-2023,Mall of Istanbul
I314443,C224350,Female,37,Clothing,5,1500.4,Credit Card,12-01-2023,Mall of Istanbul
I241752,C429808,Female,30,Souvenir,5,58.65,Cash,12-01-2023,Mall of Istanbul
I215780,C260989,Male,20,Shoes,3,1800.51,Credit Card,12-01-2023,Viaport Outlet
I769425,C227193,Female,60,Toys,1,35.84,Credit Card,12-01-2023,Mall of Istanbul
I387941,C313024,Female,32,Technology,1,1050,Debit Card,12-01-2023,Istinye Park
I188925,C134130,Male,33,Shoes,2,1200.34,Cash,12-01-2023,Istinye Park
I100243,C332855,Female,42,Clothing,1,300.08,Cash,12-01-2023,Kanyon
I940231,C404636,Female,65,Clothing,5,1500.4,Cash,12-01-2023,Cevahir AVM
I234660,C303326,Female,69,Food & Beverage,1,5.23,Cash,12-01-2023,Mall of Istanbul
I299668,C330534,Female,52,Clothing,5,1500.4,Cash,12-01-2023,Metrocity
I329674,C103108,Male,62,Clothing,3,900.24,Credit Card,12-01-2023,Istinye Park
I190149,C259449,Female,37,Clothing,5,1500.4,Credit Card,12-01-2023,Mall of Istanbul
I211718,C124065,Female,69,Toys,4,143.36,Cash,12-01-2023,Istinye Park
I268049,C391343,Male,44,Clothing,4,1200.32,Cash,12-01-2023,Metrocity
I232033,C254971,Male,67,Cosmetics,4,162.64,Credit Card,12-01-2023,Mall of Istanbul
I500201,C298142,Male,42,Books,5,75.75,Cash,12-01-2023,Mall of Istanbul
I166351,C177310,Male,30,Clothing,1,300.08,Cash,12-01-2023,Istinye Park
I318338,C474438,Male,48,Cosmetics,2,81.32,Cash,12-01-2023,Istinye Park
I117176,C171944,Male,28,Clothing,5,1500.4,Credit Card,12-01-2023,Emaar Square Mall
I127812,C335110,Male,23,Shoes,4,2400.68,Cash,12-01-2023,Emaar Square Mall
I312345,C259112,Female,42,Toys,2,71.68,Debit Card,12-01-2023,Viaport Outlet
I774522,C151015,Female,57,Cosmetics,4,162.64,Credit Card,12-01-2023,Metrocity
I129331,C141573,Male,53,Clothing,5,1500.4,Credit Card,12-01-2023,Forum Istanbul
I286438,C323302,Female,63,Shoes,4,2400.68,Credit Card,12-01-2023,Emaar Square Mall
I136400,C254585,Male,59,Shoes,2,1200.34,Cash,12-01-2023,Metrocity
I122129,C240875,Female,51,Food & Beverage,4,20.92,Credit Card,12-01-2023,Metropol AVM
I146582,C108801,Female,51,Clothing,4,1200.32,Credit Card,12-01-2023,Kanyon
I261700,C293198,Male,50,Clothing,4,1200.32,Cash,12-01-2023,Kanyon
I747997,C200531,Female,27,Food & Beverage,5,26.15,Credit Card,12-01-2023,Kanyon
I123872,C196804,Male,21,Clothing,5,1500.4,Debit Card,12-01-2023,Kanyon
I334743,C132317,Female,58,Clothing,3,900.24,Credit Card,12-01-2023,Metropol AVM
I337600,C248586,Female,67,Food & Beverage,1,5.23,Credit Card,12-01-2023,Emaar Square Mall
I272397,C142367,Male,26,Food & Beverage,2,10.46,Cash,12-01-2023,Istinye Park
I565442,C223892,Female,51,Books,2,30.3,Debit Card,12-01-2023,Emaar Square Mall
I482580,C768528,Female,33,Clothing,1,300.08,Debit Card,12-01-2023,Metrocity
I143628,C273751,Female,39,Clothing,5,1500.4,Cash,12-01-2023,Metrocity
I102797,C129206,Male,52,Cosmetics,2,81.32,Credit Card,12-01-2023,Mall of Istanbul
I228341,C270538,Male,69,Clothing,4,1200.32,Credit Card,12-01-2023,Metropol AVM
I133737,C162711,Male,29,Toys,4,143.36,Cash,12-01-2023,Istinye Park
I135254,C298326,Female,57,Food & Beverage,2,10.46,Credit Card,12-01-2023,Istinye Park
I167081,C644361,Male,40,Toys,2,71.68,Credit Card,12-01-2023,Viaport Outlet
I143406,C338259,Male,52,Cosmetics,2,81.32,Debit Card,12-01-2023,Kanyon
I752644,C289322,Male,37,Cosmetics,5,203.3,Credit Card,12-01-2023,Mall of Istanbul
I106898,C164833,Female,65,Toys,3,107.52,Cash,12-01-2023,Mall of Istanbul
I274862,C259568,Female,29,Shoes,3,1800.51,Credit Card,12-01-2023,Mall of Istanbul
I111120,C904624,Female,48,Food & Beverage,1,5.23,Credit Card,12-01-2023,Mall of Istanbul
I145732,C290038,Female,60,Clothing,1,300.08,Cash,12-01-2023,Istinye Park
I335661,C656939,Male,43,Clothing,1,300.08,Credit Card,12-01-2023,Mall of Istanbul
I322877,C114440,Male,19,Food & Beverage,5,26.15,Debit Card,12-01-2023,Kanyon
I337648,C192992,Female,37,Clothing,4,1200.32,Credit Card,12-01-2023,Kanyon
I976975,C314951,Male,43,Toys,1,35.84,Cash,12-01-2023,Emaar Square Mall
I239407,C173553,Female,31,Clothing,1,300.08,Credit Card,12-01-2023,Emaar Square Mall
I390949,C212657,Female,37,Clothing,1,300.08,Credit Card,12-01-2023,Metrocity
I114508,C299425,Male,69,Technology,1,1050,Cash,12-01-2023,Istinye Park
I105274,C447217,Female,48,Technology,4,4200,Credit Card,12-01-2023,Kanyon
I722223,C241077,Male,49,Food & Beverage,3,15.69,Debit Card,12-01-2023,Kanyon
I193818,C332284,Male,25,Clothing,3,900.24,Debit Card,12-01-2023,Mall of Istanbul
I381029,C244784,Female,64,Clothing,5,1500.4,Credit Card,12-01-2023,Forum Istanbul
I735581,C633254,Male,24,Food & Beverage,5,26.15,Cash,12-01-2023,Metrocity
I249806,C337291,Male,31,Food & Beverage,2,10.46,Credit Card,12-01-2023,Cevahir AVM
I698057,C268141,Male,41,Clothing,4,1200.32,Cash,12-01-2023,Mall of Istanbul
I239697,C408348,Male,66,Shoes,2,1200.34,Cash,12-01-2023,Cevahir AVM
I275197,C211418,Male,59,Cosmetics,5,203.3,Credit Card,12-01-2023,Zorlu Center
I551027,C995533,Female,69,Food & Beverage,2,10.46,Cash,12-01-2023,Emaar Square Mall
I144809,C254002,Female,41,Clothing,5,1500.4,Cash,12-01-2023,Metropol AVM
I162649,C328538,Female,43,Food & Beverage,4,20.92,Debit Card,12-01-2023,Kanyon
I308748,C368583,Male,21,Food & Beverage,3,15.69,Debit Card,12-01-2023,Kanyon
I248923,C219403,Female,32,Cosmetics,1,40.66,Credit Card,12-01-2023,Emaar Square Mall
I317284,C736192,Male,38,Cosmetics,5,203.3,Credit Card,12-01-2023,Istinye Park
I300085,C718251,Female,36,Clothing,3,900.24,Credit Card,12-01-2023,Kanyon
I926485,C182980,Male,39,Cosmetics,4,162.64,Cash,12-01-2023,Cevahir AVM
I219693,C310555,Male,59,Cosmetics,1,40.66,Cash,12-01-2023,Mall of Istanbul
I432481,C157760,Male,29,Toys,4,143.36,Credit Card,12-01-2023,Mall of Istanbul
I382981,C320476,Female,44,Clothing,1,300.08,Credit Card,12-01-2023,Mall of Istanbul
I282809,C274646,Male,64,Cosmetics,5,203.3,Cash,12-01-2023,Mall of Istanbul
I650795,C194569,Female,31,Toys,5,179.2,Cash,12-01-2023,Istinye Park
I378859,C338398,Male,29,Clothing,4,1200.32,Credit Card,12-01-2023,Kanyon
I732224,C204687,Female,23,Cosmetics,4,162.64,Credit Card,12-01-2023,Metropol AVM
I231767,C331912,Male,64,Food & Beverage,1,5.23,Cash,12-01-2023,Kanyon
I742696,C553587,Male,67,Toys,3,107.52,Cash,12-01-2023,Emaar Square Mall
I841351,C113204,Male,45,Clothing,4,1200.32,Credit Card,12-01-2023,Metropol AVM
I373607,C570558,Male,36,Cosmetics,4,162.64,Cash,12-01-2023,Forum Istanbul
I339231,C494720,Female,67,Clothing,4,1200.32,Cash,12-01-2023,Kanyon
I287900,C117319,Male,38,Toys,3,107.52,Cash,12-01-2023,Metrocity
I126386,C258799,Female,64,Souvenir,1,11.73,Cash,12-01-2023,Metropol AVM
I217395,C272335,Female,30,Clothing,5,1500.4,Debit Card,12-01-2023,Istinye Park
I332502,C862510,Male,68,Toys,4,143.36,Cash,12-01-2023,Metrocity
I339346,C144276,Female,66,Food & Beverage,5,26.15,Credit Card,13-01-2023,Mall of Istanbul
I237866,C297260,Male,31,Shoes,5,3000.85,Credit Card,13-01-2023,Metropol AVM
I105721,C318000,Male,42,Clothing,4,1200.32,Credit Card,13-01-2023,Kanyon
I136074,C173996,Female,59,Cosmetics,1,40.66,Cash,13-01-2023,Mall of Istanbul
I320496,C472457,Male,39,Clothing,4,1200.32,Credit Card,13-01-2023,Forum Istanbul
I265477,C147703,Male,51,Clothing,1,300.08,Cash,13-01-2023,Istinye Park
I301962,C179409,Female,59,Books,3,45.45,Debit Card,13-01-2023,Kanyon
I252034,C324518,Male,38,Toys,2,71.68,Cash,13-01-2023,Istinye Park
I278655,C216475,Male,29,Cosmetics,1,40.66,Credit Card,13-01-2023,Kanyon
I730397,C385215,Male,22,Cosmetics,3,121.98,Credit Card,13-01-2023,Cevahir AVM
I828940,C192050,Male,20,Cosmetics,3,121.98,Debit Card,13-01-2023,Kanyon
I260326,C978942,Female,47,Cosmetics,1,40.66,Credit Card,13-01-2023,Istinye Park
I225038,C242120,Female,31,Clothing,3,900.24,Cash,13-01-2023,Emaar Square Mall
I210882,C163432,Female,20,Shoes,1,600.17,Cash,13-01-2023,Forum Istanbul
I686127,C276262,Male,21,Food & Beverage,2,10.46,Cash,13-01-2023,Emaar Square Mall
I251702,C214950,Female,20,Clothing,3,900.24,Cash,13-01-2023,Kanyon
I245648,C322009,Male,61,Food & Beverage,4,20.92,Credit Card,13-01-2023,Zorlu Center
I165551,C325876,Female,66,Books,5,75.75,Credit Card,13-01-2023,Viaport Outlet
I104633,C307641,Male,52,Toys,4,143.36,Debit Card,13-01-2023,Metropol AVM
I293617,C100713,Male,23,Technology,3,3150,Cash,13-01-2023,Metrocity
I164832,C160308,Female,34,Clothing,1,300.08,Credit Card,13-01-2023,Forum Istanbul
I791371,C777060,Female,60,Clothing,2,600.16,Cash,13-01-2023,Istinye Park
I261046,C153222,Female,55,Clothing,4,1200.32,Debit Card,13-01-2023,Cevahir AVM
I311640,C307063,Female,68,Clothing,5,1500.4,Cash,13-01-2023,Metrocity
I208694,C224245,Female,56,Clothing,3,900.24,Cash,13-01-2023,Metropol AVM
I280234,C169880,Male,23,Cosmetics,2,81.32,Cash,13-01-2023,Emaar Square Mall
I285203,C662021,Male,40,Cosmetics,2,81.32,Cash,13-01-2023,Forum Istanbul
I660570,C107934,Female,27,Clothing,5,1500.4,Debit Card,13-01-2023,Cevahir AVM
I195486,C339052,Male,58,Souvenir,5,58.65,Credit Card,13-01-2023,Zorlu Center
I189693,C117924,Male,28,Clothing,5,1500.4,Debit Card,13-01-2023,Istinye Park
I212491,C816524,Male,45,Food & Beverage,5,26.15,Cash,13-01-2023,Mall of Istanbul
I330157,C107312,Female,61,Clothing,3,900.24,Cash,13-01-2023,Mall of Istanbul
I333550,C800034,Male,64,Cosmetics,1,40.66,Cash,13-01-2023,Emaar Square Mall
I508511,C264432,Female,44,Technology,3,3150,Cash,13-01-2023,Istinye Park
I160987,C838602,Male,63,Toys,5,179.2,Debit Card,13-01-2023,Viaport Outlet
I549961,C181326,Female,36,Clothing,1,300.08,Credit Card,13-01-2023,Istinye Park
I538680,C235195,Female,46,Food & Beverage,1,5.23,Credit Card,13-01-2023,Kanyon
I297885,C755514,Female,49,Toys,4,143.36,Credit Card,13-01-2023,Viaport Outlet
I275461,C125893,Female,52,Books,4,60.6,Credit Card,13-01-2023,Kanyon
I208416,C202577,Male,36,Clothing,1,300.08,Credit Card,13-01-2023,Mall of Istanbul
I157690,C119015,Female,32,Souvenir,5,58.65,Credit Card,13-01-2023,Istinye Park
I276876,C243228,Female,64,Books,1,15.15,Cash,13-01-2023,Viaport Outlet
I257623,C434811,Male,31,Shoes,3,1800.51,Credit Card,13-01-2023,Mall of Istanbul
I320786,C133046,Female,63,Food & Beverage,4,20.92,Credit Card,13-01-2023,Mall of Istanbul
I190355,C208915,Female,27,Cosmetics,1,40.66,Credit Card,13-01-2023,Cevahir AVM
I198464,C803122,Female,66,Technology,5,5250,Cash,13-01-2023,Metropol AVM
I259665,C335651,Male,56,Food & Beverage,3,15.69,Credit Card,13-01-2023,Istinye Park
I648542,C102798,Female,50,Shoes,2,1200.34,Credit Card,13-01-2023,Zorlu Center
I334856,C300191,Female,37,Food & Beverage,5,26.15,Cash,13-01-2023,Metropol AVM
I447475,C183187,Female,54,Food & Beverage,2,10.46,Cash,13-01-2023,Kanyon
I628865,C295171,Male,58,Cosmetics,2,81.32,Cash,13-01-2023,Metrocity
I125745,C327532,Male,48,Food & Beverage,1,5.23,Cash,13-01-2023,Metrocity
I138420,C151779,Female,68,Clothing,5,1500.4,Cash,13-01-2023,Metrocity
I339440,C163211,Female,24,Food & Beverage,3,15.69,Debit Card,13-01-2023,Mall of Istanbul
I156993,C682533,Male,18,Technology,2,2100,Credit Card,13-01-2023,Kanyon
I312697,C339412,Female,52,Food & Beverage,3,15.69,Credit Card,13-01-2023,Kanyon
I632179,C122727,Female,31,Books,4,60.6,Cash,13-01-2023,Istinye Park
I106654,C149870,Male,25,Toys,3,107.52,Credit Card,13-01-2023,Kanyon
I315365,C254966,Male,44,Clothing,5,1500.4,Credit Card,13-01-2023,Mall of Istanbul
I776154,C239099,Male,32,Shoes,3,1800.51,Cash,13-01-2023,Mall of Istanbul
I753765,C236310,Female,67,Clothing,3,900.24,Credit Card,13-01-2023,Zorlu Center
I332728,C119949,Female,64,Cosmetics,3,121.98,Cash,13-01-2023,Mall of Istanbul
I133680,C286188,Female,27,Food & Beverage,3,15.69,Debit Card,13-01-2023,Metrocity
I979268,C263346,Female,62,Technology,3,3150,Credit Card,13-01-2023,Viaport Outlet
I120389,C517773,Male,33,Food & Beverage,5,26.15,Credit Card,13-01-2023,Mall of Istanbul
I217828,C478761,Female,18,Cosmetics,2,81.32,Credit Card,13-01-2023,Istinye Park
I306227,C163689,Female,34,Food & Beverage,2,10.46,Debit Card,13-01-2023,Emaar Square Mall
I882991,C146447,Female,23,Clothing,4,1200.32,Cash,13-01-2023,Mall of Istanbul
I121996,C191674,Male,52,Clothing,1,300.08,Debit Card,13-01-2023,Metrocity
I188821,C324531,Female,46,Clothing,5,1500.4,Debit Card,13-01-2023,Mall of Istanbul
I675225,C196414,Female,29,Shoes,4,2400.68,Cash,13-01-2023,Mall of Istanbul
I184083,C237690,Male,32,Clothing,2,600.16,Credit Card,13-01-2023,Emaar Square Mall
I260548,C330753,Female,41,Toys,1,35.84,Cash,13-01-2023,Mall of Istanbul
I241537,C181144,Female,62,Clothing,5,1500.4,Credit Card,13-01-2023,Viaport Outlet
I868111,C331786,Male,37,Food & Beverage,5,26.15,Cash,13-01-2023,Forum Istanbul
I237353,C253638,Male,67,Souvenir,1,11.73,Debit Card,13-01-2023,Metropol AVM
I316780,C541826,Female,41,Shoes,5,3000.85,Cash,13-01-2023,Metrocity
I751119,C441480,Female,36,Cosmetics,4,162.64,Debit Card,13-01-2023,Mall of Istanbul
I131823,C103730,Female,26,Food & Beverage,4,20.92,Debit Card,13-01-2023,Mall of Istanbul
I623128,C880900,Female,46,Technology,4,4200,Credit Card,13-01-2023,Kanyon
I172393,C305980,Female,31,Shoes,1,600.17,Cash,13-01-2023,Cevahir AVM
I370039,C161037,Male,28,Toys,1,35.84,Cash,13-01-2023,Zorlu Center
I344739,C199118,Female,36,Books,5,75.75,Credit Card,13-01-2023,Kanyon
I319905,C205500,Female,68,Cosmetics,4,162.64,Cash,13-01-2023,Kanyon
I240696,C199002,Female,51,Cosmetics,3,121.98,Credit Card,13-01-2023,Istinye Park
I218400,C322533,Male,33,Clothing,2,600.16,Debit Card,13-01-2023,Forum Istanbul
I631722,C775673,Male,23,Clothing,3,900.24,Credit Card,13-01-2023,Mall of Istanbul
I164900,C310183,Female,44,Shoes,3,1800.51,Credit Card,13-01-2023,Mall of Istanbul
I102925,C217020,Female,27,Cosmetics,5,203.3,Credit Card,13-01-2023,Metrocity
